,mrt_mult,int_adj,sur_mult,PVFP
0,0.9,-0.05,0.85,576590.67925658
1,0.9,-0.04,0.85,530369.4258693159
2,0.9,-0.030000000000000002,0.85,488811.89519602153
3,0.9,-0.020000000000000004,0.85,451360.16673863784
4,0.9,-0.010000000000000002,0.85,417531.07381681784
5,0.9,0.0,0.85,386905.2849431186
6,0.9,0.009999999999999995,0.85,359118.0968132839
7,0.9,0.020000000000000004,0.85,333851.65384626354
8,0.9,0.03,0.85,310828.3592892077
9,0.9,0.039999999999999994,0.85,289805.2837524002
10,0.9,0.05,0.85,270569.41043551144
11,0.92,-0.05,0.85,567499.3464646238
12,0.92,-0.04,0.85,521992.9338319896
13,0.92,-0.030000000000000002,0.85,481072.7874998328
14,0.92,-0.020000000000000004,0.85,444190.6641337078
15,0.92,-0.010000000000000002,0.85,410871.7393144717
16,0.92,0.0,0.85,380703.88798464916
17,0.92,0.009999999999999995,0.85,353328.6448150499
18,0.92,0.020000000000000004,0.85,328433.5647687577
19,0.92,0.03,0.85,305745.7532726247
20,0.92,0.039999999999999994,0.85,285026.3754845669
21,0.92,0.05,0.85,266065.98691173265
22,0.9400000000000001,-0.05,0.85,558412.2471576787
23,0.9400000000000001,-0.04,0.85,513620.2309130962
24,0.9400000000000001,-0.030000000000000002,0.85,473337.07825516706
25,0.9400000000000001,-0.020000000000000004,0.85,437024.215858956
26,0.9400000000000001,-0.010000000000000002,0.85,404215.1554425732
27,0.9400000000000001,0.0,0.85,374504.9731262612
28,0.9400000000000001,0.009999999999999995,0.85,347541.43704272294
29,0.9400000000000001,0.020000000000000004,0.85,323017.5088138446
30,0.9400000000000001,0.03,0.85,300664.99269521213
31,0.9400000000000001,0.039999999999999994,0.85,280249.14549706166
32,0.9400000000000001,0.05,0.85,261564.09252795955
33,0.96,-0.05,0.85,549329.3790025525
34,0.96,-0.04,0.85,505251.31505005737
35,0.96,-0.030000000000000002,0.85,465604.7656354712
36,0.96,-0.020000000000000004,0.85,429860.82029404666
37,0.96,-0.010000000000000002,0.85,397561.3207612724
38,0.96,0.0,0.85,368308.53908633895
39,0.96,0.009999999999999995,0.85,341756.4723536435
40,0.96,0.020000000000000004,0.85,317603.4849610927
41,0.96,0.03,0.85,295586.0766442265
42,0.96,0.039999999999999994,0.85,275473.5929721692
43,0.96,0.05,0.85,257063.7265504656
44,0.98,-0.05,0.85,540250.7396674214
45,0.98,-0.04,0.85,496886.18418149767
46,0.98,-0.030000000000000002,0.85,457875.8478152492
47,0.98,-0.020000000000000004,0.85,422700.4758195758
48,0.98,-0.010000000000000002,0.85,390910.2338315416
49,0.98,0.0,0.85,362114.58458399255
50,0.98,0.009999999999999995,0.85,335973.7496057949
51,0.98,0.020000000000000004,0.85,312191.49219064054
52,0.98,0.03,0.85,290509.00420743023
53,0.98,0.039999999999999994,0.85,270699.7170926243
54,0.98,0.05,0.85,252564.88824592475
55,1.0,-0.05,0.85,531176.3268218291
56,1.0,-0.04,0.85,488524.836247242
57,1.0,-0.030000000000000002,0.85,450150.32297006185
58,1.0,-0.020000000000000004,0.85,415543.1808170705
59,1.0,-0.010000000000000002,0.85,384261.89321517566
60,1.0,0.0,0.85,355923.1083390588
61,1.0,0.009999999999999995,0.85,330193.26765780314
62,1.0,0.020000000000000004,0.85,306781.5294831963
63,1.0,0.03,0.85,285433.7744730915
64,1.0,0.039999999999999994,0.85,265927.5170416111
65,1.0,0.05,0.85,248067.57688141125
66,1.02,-0.05,0.85,522106.1381366876
67,1.02,-0.04,0.85,480167.26918831695
68,1.02,-0.030000000000000002,0.85,442428.1892765264
69,1.02,-0.020000000000000004,0.85,408388.9336689886
70,1.02,-0.010000000000000002,0.85,377616.2974747893
71,1.02,0.0,0.85,349734.10907209996
72,1.02,0.009999999999999995,0.85,324415.0253689366
73,1.02,0.020000000000000004,0.85,301373.59582003776
74,1.02,0.03,0.85,280360.3865299838
75,1.02,0.039999999999999994,0.85,261156.9920027633
76,1.02,0.05,0.85,243571.79172439946
77,1.04,-0.05,0.85,513040.17128427443
78,1.04,-0.04,0.85,471813.4809469486
79,1.04,-0.030000000000000002,0.85,434709.444912316
80,1.04,-0.020000000000000004,0.85,401237.73275871784
81,1.04,-0.010000000000000002,0.85,370973.44517381897
82,1.04,0.0,0.85,343547.585504404
83,1.04,0.009999999999999995,0.85,318639.0215991058
84,1.04,0.020000000000000004,0.85,295967.69018301147
85,1.04,0.03,0.85,275288.83946738637
86,1.04,0.039999999999999994,0.85,256388.14116016397
87,1.04,0.05,0.85,239077.53204276372
88,1.06,-0.05,0.85,503978.4239382331
89,1.06,-0.04,0.85,463463.46946656273
90,1.06,-0.030000000000000002,0.85,426994.08805615804
91,1.06,-0.020000000000000004,0.85,394089.5764705756
92,1.06,-0.010000000000000002,0.85,364333.334876521
93,1.06,0.0,0.85,337363.53635798354
94,1.06,0.009999999999999995,0.85,312865.2552088631
95,1.06,0.020000000000000004,0.85,290563.8115545334
96,1.06,0.03,0.85,270219.132375083
97,1.06,0.039999999999999994,0.85,251620.9636983447
98,1.06,0.05,0.85,234584.79710477783
99,1.08,-0.05,0.85,494920.89377357165
100,1.08,-0.04,0.85,455117.23269178387
101,1.08,-0.030000000000000002,0.85,419282.11688783526
102,1.08,-0.020000000000000004,0.85,386944.4631898086
103,1.08,-0.010000000000000002,0.85,357695.9651479718
104,1.08,0.0,0.85,331181.96035557607
105,1.08,0.009999999999999995,0.85,307093.72505940177
106,1.08,0.020000000000000004,0.85,285161.95891758753
107,1.08,0.03,0.85,265151.2643433622
108,1.08,0.039999999999999994,0.85,246855.458802286
109,1.08,0.05,0.85,230093.58617911508
110,1.1,-0.05,0.85,485867.57846666256
111,1.1,-0.04,0.85,446774.76856843394
112,1.1,-0.030000000000000002,0.85,411573.5295881836
113,1.1,-0.020000000000000004,0.85,379802.3913025915
114,1.1,-0.010000000000000002,0.85,351061.3345540668
115,1.1,0.0,0.85,325002.856220643
116,1.1,0.009999999999999995,0.85,301324.4300125565
117,1.1,0.020000000000000004,0.85,279762.1312557264
118,1.1,0.03,0.85,260085.23446301688
119,1.1,0.039999999999999994,0.85,242091.6256574167
120,1.1,0.05,0.85,225603.898534848
