,Unnamed: 0,mrt_mult,int_adj,sur_mult,PVFP
50,50,0.98,0.009999999999999995,0.75,359570.1171316808
51,51,0.98,0.020000000000000004,0.75,333872.6442889329
52,52,0.98,0.03,0.75,310469.7083944773
53,53,0.98,0.04,0.75,289112.0054462699
54,54,0.98,0.05,0.75,269580.99220735393
55,55,1.0,-0.05,0.75,571487.8327764075
56,56,1.0,-0.04,0.75,525102.7051967006
57,57,1.0,-0.03,0.75,483413.9092024756
58,58,1.0,-0.020000000000000004,0.75,445858.6116029711
59,59,1.0,-0.010000000000000002,0.75,411949.4731726229
60,60,1.0,0.0,0.75,381263.6139810138
61,61,1.0,0.009999999999999995,0.75,353433.3094117772
62,62,1.0,0.020000000000000004,0.75,328138.128518912
63,63,1.0,0.03,0.75,305098.27704176435
64,64,1.0,0.04,0.75,284068.94873049896
65,65,1.0,0.05,0.75,264835.52242162265
66,66,1.02,-0.05,0.75,561766.3122370011
67,67,1.02,-0.04,0.75,516159.2681510218
68,68,1.02,-0.03,0.75,475163.6484897623
69,69,1.02,-0.020000000000000004,0.75,438227.2732537713
70,70,1.02,-0.010000000000000002,0.75,404871.98265628034
71,71,1.02,0.0,0.75,374682.8226864052
72,72,1.02,0.009999999999999995,0.75,347298.92624199804
73,73,1.02,0.020000000000000004,0.75,322405.8074076288
74,74,1.02,0.03,0.75,299728.83607366803
75,75,1.02,0.04,0.75,279027.7005663369
76,76,1.02,0.05,0.75,260091.69904734558
77,77,1.04,-0.05,0.75,552049.384432305
78,78,1.04,-0.04,0.75,507219.93870500405
79,79,1.04,-0.03,0.75,466917.06907822686
80,80,1.04,-0.020000000000000004,0.75,430599.24088669405
81,81,1.04,-0.010000000000000002,0.75,397797.46705862397
82,82,1.04,0.0,0.75,368104.71373763867
83,83,1.04,0.009999999999999995,0.75,341166.9663834917
84,84,1.04,0.020000000000000004,0.75,316675.679849233
85,85,1.04,0.03,0.75,294361.38450148056
86,86,1.04,0.04,0.75,273988.26006841357
87,87,1.04,0.05,0.75,255349.5212904545
88,88,1.06,-0.05,0.75,542337.0468279363
89,89,1.06,-0.04,0.75,498284.7146190878
90,90,1.06,-0.03,0.75,458674.1689853743
91,91,1.06,-0.020000000000000004,0.75,422974.5127437788
92,92,1.06,-0.010000000000000002,0.75,390725.9248181522
93,93,1.06,0.0,0.75,361529.2857453972
94,94,1.06,0.009999999999999995,0.75,335037.4285981028
95,95,1.06,0.020000000000000004,0.75,310947.7447384918
96,96,1.06,0.03,0.75,288995.9213370414
97,97,1.06,0.04,0.75,268950.626351845
98,98,1.06,0.05,0.75,250608.9883573145
99,99,1.08,-0.05,0.75,532629.2968909942
100,100,1.08,-0.04,0.75,489353.5936550139
101,101,1.08,-0.03,0.75,450434.94622985384
102,102,1.08,-0.020000000000000004,0.75,415353.0870680724
103,103,1.08,-0.010000000000000002,0.75,383657.35437425226
104,104,1.08,0.0,0.75,354956.53732114955
105,105,1.08,0.009999999999999995,0.75,328910.3116483709
106,106,1.08,0.020000000000000004,0.75,305222.00097078783
107,107,1.08,0.03,0.75,283632.44559273694
108,108,1.08,0.04,0.75,263914.7985322332
109,109,1.08,0.05,0.75,245870.0994547231
110,110,1.1,-0.05,0.75,522926.13209005864
111,111,1.1,-0.04,0.75,480426.5735758247
112,112,1.1,-0.03,0.75,442199.3988314577
113,113,1.1,-0.020000000000000004,0.75,407734.9621036298
114,114,1.1,-0.010000000000000002,0.75,376591.7541672003
115,115,1.1,0.0,0.75,348386.4670771493
116,116,1.1,0.009999999999999995,0.75,322785.6142975302
117,117,1.1,0.020000000000000004,0.75,299498.4474421199
118,118,1.1,0.03,0.75,278270.95628150005
119,119,1.1,0.04,0.75,258880.7757256665
120,120,1.1,0.05,0.75,241132.8537899102
0,0,0.9,-0.05,0.8,597961.1844507317
1,1,0.9,-0.04,0.8,549753.0694074662
2,2,0.9,-0.03,0.8,506432.411838745
3,3,0.9,-0.020000000000000004,0.8,467412.8418134509
4,4,0.9,-0.010000000000000002,0.8,432186.7061209853
5,5,0.9,0.0,0.8,400313.5550456877
6,6,0.9,0.009999999999999995,0.8,371410.4358194632
7,7,0.9,0.020000000000000004,0.8,345143.6916151629
8,8,0.9,0.03,0.8,321222.01788102346
9,9,0.9,0.04,0.8,299390.57099165925
10,10,0.9,0.05,0.8,279425.9594845023
11,11,0.92,-0.05,0.8,588549.7707952409
12,12,0.92,-0.04,0.8,541088.6121125923
13,13,0.92,-0.03,0.8,498433.67109492724
14,14,0.92,-0.020000000000000004,0.8,460008.7505828491
15,15,0.92,-0.010000000000000002,0.8,425314.9647295149
16,16,0.92,0.0,0.8,393919.4355920341
17,17,0.92,0.009999999999999995,0.8,365445.7629673207
18,18,0.92,0.020000000000000004,0.8,339565.97197425424
19,19,0.92,0.03,0.8,315993.69482099835
20,20,0.92,0.04,0.8,294478.3855567375
21,21,0.92,0.05,0.8,274800.4012356357
22,22,0.94,-0.05,0.8,579142.772728666
23,23,0.94,-0.04,0.8,532428.105376413
24,24,0.94,-0.03,0.8,490438.47218278656
25,25,0.94,-0.020000000000000004,0.8,452607.84124969656
26,26,0.94,-0.010000000000000002,0.8,418446.0876660865
27,27,0.94,0.0,0.8,387527.89974969975
28,28,0.94,0.009999999999999995,0.8,359483.42512671865
29,29,0.94,0.020000000000000004,0.8,333990.36678576877
30,30,0.94,0.03,0.8,310767.2901798587
31,31,0.94,0.04,0.8,289567.94399613474
32,32,0.94,0.05,0.8,270176.43117757584
33,33,0.96,-0.05,0.8,569740.1878156193
34,34,0.96,-0.04,0.8,523771.5470464511
35,35,0.96,-0.03,0.8,482446.8131965576
36,36,0.96,-0.020000000000000004,0.8,445210.1121237497
37,37,0.96,-0.010000000000000002,0.8,411580.07342905534
38,38,0.96,0.0,0.8,381138.94618236006
39,39,0.96,0.009999999999999995,0.8,353523.4211064885
40,40,0.96,0.020000000000000004,0.8,328416.8749861984
41,41,0.96,0.03,0.8,305542.8030065513
42,42,0.96,0.04,0.8,284659.24545801576
43,43,0.96,0.05,0.8,265554.0485461639
44,44,0.98,-0.05,0.8,560342.0136221392
45,45,0.98,-0.04,0.8,515118.93497148226
46,46,0.98,-0.03,0.8,474458.6922315767
47,47,0.98,-0.020000000000000004,0.8,437815.5615157353
48,48,0.98,-0.010000000000000002,0.8,404716.92051763396
49,49,0.98,0.0,0.8,374752.57355444774
50,50,0.98,0.009999999999999995,0.8,347565.74971613113
51,51,0.98,0.020000000000000004,0.8,322845.49551262835
52,52,0.98,0.03,0.8,300320.23235054966
53,53,0.98,0.04,0.8,279752.2890910138
54,54,0.98,0.05,0.8,260933.25257765802
55,55,1.0,-0.05,0.8,550948.2477156897
56,56,1.0,-0.04,0.8,506470.26700153423
57,57,1.0,-0.03,0.8,466474.10738428147
58,58,1.0,-0.020000000000000004,0.8,430424.1877373504
59,59,1.0,-0.010000000000000002,0.8,397856.62743188994
60,60,1.0,0.0,0.8,368368.78053115134
61,61,1.0,0.009999999999999995,0.8,341610.40976581717
62,62,1.0,0.020000000000000004,0.8,317276.2273027372
63,63,1.0,0.03,0.8,295099.57726185396
64,64,1.0,0.04,0.8,274847.0740442298
65,65,1.0,0.05,0.8,256314.04250873296
66,66,1.02,-0.05,0.8,541558.8876651602
67,67,1.02,-0.04,0.8,497825.5409878853
68,68,1.02,-0.03,0.8,458493.05675221
69,69,1.02,-0.020000000000000004,0.8,423035.9891012613
70,70,1.02,-0.010000000000000002,0.8,390999.19267274666
71,71,1.02,0.0,0.8,361987.5657784149
72,72,1.02,0.009999999999999995,0.8,335657.40006638627
73,73,1.02,0.020000000000000004,0.8,311709.06929479627
74,74,1.02,0.03,0.8,289880.8367909905
75,75,1.02,0.04,0.8,269943.5994672329
76,76,1.02,0.05,0.8,251696.41757648022
77,77,1.04,-0.05,0.8,532173.9310408633
78,78,1.04,-0.04,0.8,489184.75478306477
79,79,1.04,-0.03,0.8,450515.5384340001
80,80,1.04,-0.020000000000000004,0.8,415650.9639211033
81,81,1.04,-0.010000000000000002,0.8,384144.61474198214
82,82,1.04,0.0,0.8,355608.9279629393
83,83,1.04,0.009999999999999995,0.8,329706.71942934627
84,84,1.04,0.020000000000000004,0.8,306144.02042766986
85,85,1.04,0.03,0.8,284664.00998901174
86,86,1.04,0.04,0.8,265041.86451005965
87,87,1.04,0.05,0.8,247080.3770184069
88,88,1.06,-0.05,0.8,522793.3754145352
89,89,1.06,-0.04,0.8,480547.906240852
90,90,1.06,-0.03,0.8,442541.55052938906
91,91,1.06,-0.020000000000000004,0.8,408269.11051148
92,92,1.06,-0.010000000000000002,0.8,377292.8921422291
93,93,1.06,0.0,0.8,349232.8657521789
94,94,1.06,0.009999999999999995,0.8,323758.36666687345
95,95,1.06,0.020000000000000004,0.8,300581.0796408145
96,96,1.06,0.03,0.8,279449.09590749565
97,97,1.06,0.04,0.8,260141.8683232138
98,98,1.06,0.05,0.8,242465.9200724363
99,99,1.08,-0.05,0.8,513417.2183593345
100,100,1.08,-0.04,0.8,471914.9932162741
101,101,1.08,-0.03,0.8,434571.0911392125
102,102,1.08,-0.020000000000000004,0.8,400890.42718796345
103,103,1.08,-0.010000000000000002,0.8,370444.02337697375
104,104,1.08,0.0,0.8,342859.37781434384
105,105,1.08,0.009999999999999995,0.8,317812.34059181204
106,106,1.08,0.020000000000000004,0.8,295020.2458742781
107,107,1.08,0.03,0.8,274236.09359854565
108,108,1.08,0.04,0.8,255243.6100576662
109,109,1.08,0.05,0.8,237853.04597690768
110,110,1.1,-0.05,0.8,504045.4574498408
111,111,1.1,-0.04,0.8,463286.0135656079
112,112,1.1,-0.03,0.8,426604.158365404
113,113,1.1,-0.020000000000000004,0.8,393514.9122670915
114,114,1.1,-0.010000000000000002,0.8,363598.0069505564
115,115,1.1,0.0,0.8,336488.4628183976
116,116,1.1,0.009999999999999995,0.8,311868.64001767343
117,117,1.1,0.020000000000000004,0.8,289461.51806870056
118,118,1.1,0.03,0.8,269025.0021147905
119,119,1.1,0.04,0.8,250347.08886485433
120,120,1.1,0.05,0.8,233241.75397057532
0,0,0.9,-0.05,1.1,481135.6408442382
1,1,0.9,-0.05,1.15,464121.86324992974
2,2,0.9,-0.04,1.1,443654.0492193236
3,3,0.9,-0.04,1.15,428171.9822385084
4,4,0.9,-0.03,1.1,409860.490867219
5,5,0.9,-0.03,1.15,395740.7615314083
6,6,0.9,-0.020000000000000004,1.1,379320.418460993
7,7,0.9,-0.020000000000000004,1.15,366414.93787925475
8,8,0.9,-0.010000000000000002,1.1,351656.9205076992
9,9,0.9,-0.010000000000000002,1.15,339835.94358721346
10,10,0.9,0.0,1.1,326542.3636628577
11,11,0.9,0.0,1.15,315691.9872878253
12,12,0.9,0.009999999999999995,1.1,303691.3381419844
13,13,0.9,0.009999999999999995,1.15,293711.3680428336
14,14,0.9,0.020000000000000004,1.1,282854.6901080873
15,15,0.9,0.020000000000000004,1.15,273656.81840416964
16,16,0.9,0.03,1.1,263814.46275607194
17,17,0.9,0.03,1.15,255320.70782361468
18,18,0.9,0.04,1.1,246379.59870086046
19,19,0.9,0.04,1.15,238520.96699045086
20,20,0.9,0.05,1.1,230382.28154229786
21,21,0.9,0.05,1.15,223097.61755830786
22,22,0.92,-0.05,1.1,473466.6163341556
23,23,0.92,-0.05,1.15,456704.8864212354
